studyCountry,studysite_adm1,lon_stud_adm1,lat_stud_adm1,birthCountry,countryID,contactCountry,contact_adm1,lon_cont_adm1,lat_cont_adm1,weight
Italy,Turin,7.47211,45.1609,Eritrea,3,Eritrea,,37.9999668,15.9500319,1
Italy,Udine,13.1961,46.0839,Eritrea,3,Eritrea,,37.9999668,15.9500319,1
Italy,Turin,7.47211,45.1609,Eritrea,3,Ethiopia,,38.6521203,10.2116702,1
Italy,Roma,12.7308,41.965,Eritrea,3,Finland,,25.9209164,63.2467777,1
Italy,Turin,7.47211,45.1609,Eritrea,3,France,,1.8883335,46.603354,1
Italy,Catania,14.969,37.5882,Eritrea,3,Germany,,10.4234469,51.0834196,1
Italy,Milano,9.1154,45.442,Eritrea,3,Israel,,34.8667654,31.5313113,1
Italy,Pavia,9.2558,45.1396,Eritrea,3,Norway,,9.0999715,60.5000209,1
Italy,Turin,7.47211,45.1609,Eritrea,3,Norway,,9.0999715,60.5000209,1
Italy,Roma,12.7308,41.965,Eritrea,3,South Africa,,24.991639,-28.8166236,1
Italy,Turin,7.47211,45.1609,Eritrea,3,Switzerland,,8.2319736,46.7985624,1
Ethiopia,Addis Ababa,38.7815,8.966,Eritrea,3,Canada,Alberta,-115,55.2816,1
Ethiopia,Addis Ababa,38.7815,8.966,Eritrea,3,UK,Birmingham,-1.81614,52.4782,1
Ethiopia,Addis Ababa,38.7815,8.966,Eritrea,3,South Sudan,Central Equatoria,31.2854,4.68142,1
Ethiopia,Addis Ababa,38.7815,8.966,Eritrea,3,Eritrea,Debub,40.1691,15.6179,1
Ethiopia,Addis Ababa,38.7815,8.966,Eritrea,3,Sudan,Khartoum,32.9823,15.7338,1
Ethiopia,Addis Ababa,38.7815,8.966,Eritrea,3,Russia,Moskva,37.6188,55.7177,1
Ethiopia,Addis Ababa,38.7815,8.966,Eritrea,3,USA,Nevada,-117.02,39.4299,1
Ethiopia,Addis Ababa,38.7815,8.966,Eritrea,3,USA,New York,-75.3242,43.1988,1
Ethiopia,Addis Ababa,38.7815,8.966,Eritrea,3,Netherlands,Noord-Holland,4.89736,52.5748,1
Ethiopia,Addis Ababa,38.7815,8.966,Eritrea,3,Germany,Nordrhein-Westfalen,7.65708,51.6146,1
Ethiopia,Addis Ababa,38.7815,8.966,Eritrea,3,USA,North Carolina,-78.866,35.6152,1
Ethiopia,Addis Ababa,38.7815,8.966,Eritrea,3,France,Paris,2.34347,48.8594,1
Ethiopia,Addis Ababa,38.7815,8.966,Eritrea,3,USA,Pennsylvania,-77.6094,40.8601,1
Ethiopia,Afar,41.0236,12.1232,Eritrea,3,Ethiopia,Afar,41.0236,12.1232,1
Ethiopia,Afar,41.0236,12.1232,Eritrea,3,USA,California,-119.591,36.7496,1
Ethiopia,Afar,41.0236,12.1232,Eritrea,3,USA,Illinois,-89.1991,39.946,1
Ethiopia,Afar,41.0236,12.1232,Eritrea,3,USA,Massachusetts,-71.9993,42.3739,1
Italy,Catania,14.969,37.5882,Eritrea,3,Ethiopia,Addis Ababa,38.7815,8.966,1
Italy,Catania,14.969,37.5882,Eritrea,3,Uganda,Kampala,32.6048,0.360019,1
Italy,Catania,14.969,37.5882,Eritrea,3,Switzerland,Ticino,8.79019,46.3604,1
Italy,Catania,14.969,37.5882,Eritrea,3,Switzerland,Zurich,8.6609,47.4297,1
Italy,Milano,9.1154,45.442,Eritrea,3,Ethiopia,Addis Ababa,38.7815,8.966,1
Italy,Milano,9.1154,45.442,Eritrea,3,Netherlands,Noord-Holland,4.89736,52.5748,1
Italy,Milano,9.1154,45.442,Eritrea,3,Switzerland,Vaud,6.5118,46.6204,1
Italy,Milano,9.1154,45.442,Eritrea,3,Switzerland,Zurich,8.6609,47.4297,1
Italy,Parma,10.04,44.6355,Eritrea,3,Canada,Alberta,-115,55.2816,1
Italy,Parma,10.04,44.6355,Eritrea,3,Eritrea,Anseba,39.0563,15.2792,1
Italy,Rieti,12.9445,42.3382,Eritrea,3,Norway,Vest-Agder,7.30897,58.4481,1
Italy,Roma,12.7308,41.965,Eritrea,3,United Arab Emirates,Abu Dhabi,54.0817,23.5238,1
Italy,Roma,12.7308,41.965,Eritrea,3,Norway,Akershus,11.2222,60.1365,1
Italy,Roma,12.7308,41.965,Eritrea,3,Egypt,Al Qahirah,31.5788,29.9801,1
Italy,Roma,12.7308,41.965,Eritrea,3,Italy,Ancona,13.1128,43.5383,1
Italy,Roma,12.7308,41.965,Eritrea,3,USA,Arizona,-111.935,34.3046,1
Italy,Roma,12.7308,41.965,Eritrea,3,Germany,Baden-Wurttemberg,9.00328,48.59,1
Italy,Roma,12.7308,41.965,Eritrea,3,Italy,Bologna,11.4149,44.3949,1
Italy,Roma,12.7308,41.965,Eritrea,3,Canada,British Columbia,-124.662,54.6943,1
Italy,Roma,12.7308,41.965,Eritrea,3,South Sudan,Central Equatoria,31.2854,4.68142,1
Italy,Roma,12.7308,41.965,Eritrea,3,Italy,Crotene,16.9491,39.1644,1
Italy,Roma,12.7308,41.965,Eritrea,3,Sweden,Dalarna,14.4404,60.814,1
Italy,Roma,12.7308,41.965,Eritrea,3,Switzerland,Geneve,6.11764,46.237,1
Italy,Roma,12.7308,41.965,Eritrea,3,Germany,Hamburg,10.0344,53.559,1
Italy,Roma,12.7308,41.965,Eritrea,3,Norway,Hedmark,11.2721,61.5285,1
Italy,Roma,12.7308,41.965,Eritrea,3,Norway,Hordaland,6.89657,60.1134,1
Italy,Roma,12.7308,41.965,Eritrea,3,Denmark,Hovedstaden,12.3198,55.8486,1
Italy,Roma,12.7308,41.965,Eritrea,3,Italy,Lecce,18.2094,40.167,1
Italy,Roma,12.7308,41.965,Eritrea,3,Netherlands,Limburg,5.93161,51.2248,1
Italy,Roma,12.7308,41.965,Eritrea,3,UK,Liverpool,-2.9327,53.4312,1
Italy,Roma,12.7308,41.965,Eritrea,3,Kenya,Nairobi,36.9039,-1.29384,1
Italy,Roma,12.7308,41.965,Eritrea,3,Netherlands,Noord-Holland,4.89736,52.5748,1
Italy,Roma,12.7308,41.965,Eritrea,3,Germany,Nordrhein-Westfalen,7.65708,51.6146,1
Italy,Roma,12.7308,41.965,Eritrea,3,France,Paris,2.34347,48.8594,1
Italy,Roma,12.7308,41.965,Eritrea,3,Canada,Quebec,-73.7168,52.2593,1
Italy,Roma,12.7308,41.965,Eritrea,3,Norway,Sor Trondelag,10.6956,62.9613,1
Italy,Roma,12.7308,41.965,Eritrea,3,Italy,Savona,8.28916,44.2864,1
Italy,Roma,12.7308,41.965,Eritrea,3,UK,Sheffield,-1.57387,53.4087,1
Italy,Roma,12.7308,41.965,Eritrea,3,Denmark,Sjaelland,11.7483,55.4417,1
Italy,Roma,12.7308,41.965,Eritrea,3,Denmark,Syddanmark,9.1292,55.349,1
Italy,Roma,12.7308,41.965,Eritrea,3,Switzerland,Ticino,8.79019,46.3604,1
Italy,Roma,12.7308,41.965,Eritrea,3,Italy,Udine,13.1961,46.0839,1
Italy,Roma,12.7308,41.965,Eritrea,3,Sweden,Uppsala,17.7896,60.1522,1
Italy,Roma,12.7308,41.965,Eritrea,3,Sweden,Varmland,13.0764,59.8068,1
Italy,Roma,12.7308,41.965,Eritrea,3,Sweden,Vastra Gotaland,12.8371,58.2428,1
Italy,Roma,12.7308,41.965,Eritrea,3,USA,Washington,-120.361,47.4865,1
Ethiopia,Tigray,38.2158,14.1003,Eritrea,3,New Zealand,Auckland,174.597,-36.6334,1
Ethiopia,Tigray,38.2158,14.1003,Eritrea,3,USA,District of Columbia,-77.0113,38.8922,1
Ethiopia,Tigray,38.2158,14.1003,Eritrea,3,USA,Hawaii,-157.999,21.4919,1
Ethiopia,Tigray,38.2158,14.1003,Eritrea,3,Sudan,Kassala,35.5979,15.6265,1
Ethiopia,Tigray,38.2158,14.1003,Eritrea,3,USA,Nevada,-117.02,39.4299,1
Ethiopia,Tigray,38.2158,14.1003,Eritrea,3,Eritrea,Semenawi Keyih Bahri,37.9175,16.6263,1
Ethiopia,Tigray,38.2158,14.1003,Eritrea,3,Australia,South Australia,135.783,-29.6504,1
Ethiopia,Tigray,38.2158,14.1003,Eritrea,3,Sweden,Stockholm,17.8652,59.3659,1
Ethiopia,Tigray,38.2158,14.1003,Eritrea,3,Ethiopia,Tigray,38.2158,14.1003,1
Ethiopia,Tigray,38.2158,14.1003,Eritrea,3,Australia,Victoria,144.75,-37.0082,1
Ethiopia,Tigray,38.2158,14.1003,Eritrea,3,UK,Westminster,-0.161651,51.5115,1
Ethiopia,Tigray,38.2158,14.1003,Eritrea,3,Switzerland,Zurich,8.6609,47.4297,1
Italy,Turin,7.47211,45.1609,Eritrea,3,Italy,Roma,12.7308,41.965,1
Italy,Udine,13.1961,46.0839,Eritrea,3,Ethiopia,Addis Ababa,38.7815,8.966,1
Italy,Udine,13.1961,46.0839,Eritrea,3,Switzerland,Zurich,8.6609,47.4297,1
Greece,Attiki,23.7997,38.0626,Syria,4,UK,,-1.462061885,52.28097045,1
Italy,Treviso,12.2313,45.8092,Syria,4,Germany,,10.4234469,51.0834196,1
Jordan,Mafraq,37.6195,32.2481,Syria,4,Austria,,13.2,47.2,1
Jordan,Ajlun,35.761,32.2932,Syria,4,Brazil,,-53.2,-10.3333333,1
Jordan,Ajlun,35.761,32.2932,Syria,4,Canada,,-107.991707,61.0666922,1
Jordan,Irbid,35.8195,32.5559,Syria,4,Denmark,,10.3333283,55.670249,1
Jordan,Mafraq,37.6195,32.2481,Syria,4,France,,1.8883335,46.603354,1
Jordan,Mafraq,37.6195,32.2481,Syria,4,Germany,,10.4234469,51.0834196,1
Jordan,Irbid,35.8195,32.5559,Syria,4,Saudi Arabia,,42.3528328,25.6242618,1
Jordan,Ajlun,35.761,32.2932,Syria,4,Sweden,,14.5208584,59.6749712,1
Jordan,Ajlun,35.761,32.2932,Syria,4,UK,,-1.462061885,52.28097045,1
Jordan,Mafraq,37.6195,32.2481,Syria,4,UK,,-1.462061885,52.28097045,1
Jordan,Ajlun,35.761,32.2932,Syria,4,USA,,-100.4458825,39.7837304,1
Jordan,Ajlun,35.761,32.2932,Syria,4,United Arab Emirates,Abu Dhabi,54.0817,23.5238,1
Jordan,Ajlun,35.761,32.2932,Syria,4,Syria,Damascus,36.2897,33.5101,1
Jordan,Ajlun,35.761,32.2932,Syria,4,USA,Georgia,-83.4078,32.8547,1
Jordan,Ajlun,35.761,32.2932,Syria,4,USA,Indiana,-86.1396,39.8874,1
Jordan,Ajlun,35.761,32.2932,Syria,4,Jordan,Karak,35.7693,31.1753,1
Jordan,Ajlun,35.761,32.2932,Syria,4,Jordan,Ma`an,36.6401,30.492,1
Jordan,Ajlun,35.761,32.2932,Syria,4,Canada,Nova Scotia,-62.8113,45.2293,1
Jordan,Ajlun,35.761,32.2932,Syria,4,UK,Westminster,-0.161651,51.5115,1
Greece,Attiki,23.7997,38.0626,Syria,4,Turkey,Izmir,27.3977,38.2426,1
Jordan,Irbid,35.8195,32.5559,Syria,4,Jordan,Ajlun,35.761,32.2932,1
Jordan,Irbid,35.8195,32.5559,Syria,4,Bahrain,Al Janubiyah,50.5622,25.9688,1
Jordan,Irbid,35.8195,32.5559,Syria,4,Turkey,Ankara,32.578,39.829,1
Jordan,Irbid,35.8195,32.5559,Syria,4,Saudi Arabia,Ash Sharqiyah,50.1714,22.9875,1
Jordan,Irbid,35.8195,32.5559,Syria,4,Libya,Benghazi,20.6182,31.2887,1
Jordan,Irbid,35.8195,32.5559,Syria,4,Syria,Hamah,37.22,35.2352,1
Jordan,Irbid,35.8195,32.5559,Syria,4,Germany,Hamburg,10.0344,53.559,1
Jordan,Irbid,35.8195,32.5559,Syria,4,Canada,Manitoba,-97.3828,54.85,1
Jordan,Irbid,35.8195,32.5559,Syria,4,UK,Mid Ulster,-6.70918,54.6262,1
Jordan,Irbid,35.8195,32.5559,Syria,4,Canada,New Brunswick,-66.4558,46.5822,1
Jordan,Irbid,35.8195,32.5559,Syria,4,Australia,New South Wales,146.781,-32.4751,1
Jordan,Irbid,35.8195,32.5559,Syria,4,Netherlands,Noord-Holland,4.89736,52.5748,1
Jordan,Irbid,35.8195,32.5559,Syria,4,Canada,Ontario,-84.7943,50.5244,1
Jordan,Mafraq,37.6195,32.2481,Syria,4,Saudi Arabia,Al Madinah,39.4378,24.9279,1
Jordan,Mafraq,37.6195,32.2481,Syria,4,Syria,Ar Raqqah,38.9127,36.0067,1
Jordan,Mafraq,37.6195,32.2481,Syria,4,Saudi Arabia,Ar Riyad,45.1404,23.3432,1
Jordan,Mafraq,37.6195,32.2481,Syria,4,Saudi Arabia,Ash Sharqiyah,50.1714,22.9875,1
Jordan,Mafraq,37.6195,32.2481,Syria,4,Jordan,Balqa,35.7216,31.8345,1
Jordan,Mafraq,37.6195,32.2481,Syria,4,Syria,Dar`a,36.1698,32.8686,1
Jordan,Mafraq,37.6195,32.2481,Syria,4,USA,District of Columbia,-77.0113,38.8922,1
Jordan,Mafraq,37.6195,32.2481,Syria,4,United Arab Emirates,Dubay,55.3436,24.9508,1
Jordan,Mafraq,37.6195,32.2481,Syria,4,Turkey,Gaziantep,37.2462,36.9988,1
Jordan,Mafraq,37.6195,32.2481,Syria,4,Jordan,Madaba,35.6722,31.5852,1
Jordan,Mafraq,37.6195,32.2481,Syria,4,Jordan,Tafilah,35.6436,30.7879,1
Jordan,Mafraq,37.6195,32.2481,Syria,4,Austria,Wien,16.3798,48.2247,1
Italy,Treviso,12.2313,45.8092,Syria,4,Italy,Roma,12.7308,41.965,1
Greece,Attiki,23.7997,38.0626,Pakistan,5,Pakistan,,67.91064443,29.10819827,1
Italy,Imperia,7.81935,44.011,Pakistan,5,France,,1.8883335,46.603354,1
Italy,Udine,13.1961,46.0839,Pakistan,5,Germany,,10.4234469,51.0834196,1
Italy,Udine,13.1961,46.0839,Pakistan,5,Turkey,,34.9249653,38.9597594,1
Pakistan,Khyber Pakhtunkhwa,72.6402,34.9407,Pakistan,5,USA,,-100.4458825,39.7837304,1
Greece,Attiki,23.7997,38.0626,Pakistan,5,Spain,Barcelona,2.00777,41.6575,1
Greece,Attiki,23.7997,38.0626,Pakistan,5,Italy,Milano,9.1154,45.442,1
Greece,Attiki,23.7997,38.0626,Pakistan,5,USA,New York,-75.3242,43.1988,1
Greece,Attiki,23.7997,38.0626,Pakistan,5,Germany,Niedersachsen,8.86184,52.775,1
Greece,Attiki,23.7997,38.0626,Pakistan,5,Netherlands,Noord-Holland,4.89736,52.5748,1
Greece,Attiki,23.7997,38.0626,Pakistan,5,Canada,Ontario,-84.7943,50.5244,1
Greece,Attiki,23.7997,38.0626,Pakistan,5,Finland,Uusimaa,24.8475,60.4179,1
Pakistan,Islamabad Capital Territory,73.0628,33.7011,Pakistan,5,Afghanistan,Baghlan,68.9831,35.8588,1
Pakistan,Islamabad Capital Territory,73.0628,33.7011,Pakistan,5,Afghanistan,Balkh,67.2185,36.6851,1
Pakistan,Islamabad Capital Territory,73.0628,33.7011,Pakistan,5,Pakistan,Islamabad Capital Territory,73.0628,33.7011,1
Italy,Imperia,7.81935,44.011,Pakistan,5,United Arab Emirates,Dubay,55.3436,24.9508,1
Italy,Udine,13.1961,46.0839,Pakistan,5,Greece,Attiki,23.7997,38.0626,1
Italy,Udine,13.1961,46.0839,Pakistan,5,Germany,Hessen,8.95873,50.6098,1
Italy,Udine,13.1961,46.0839,Pakistan,5,Italy,Modena,10.8516,44.4311,1
Italy,Udine,13.1961,46.0839,Pakistan,5,Italy,Piacenza,9.58167,44.8704,1
Italy,Udine,13.1961,46.0839,Pakistan,5,Italy,Venezia,12.1647,45.4591,1
Italy,Udine,13.1961,46.0839,Pakistan,5,UK,Westminster,-0.161651,51.5115,1
Ethiopia,Addis Ababa,38.7815,8.966,Ethiopia,99,Germany,,10.4234469,51.0834196,1
Ethiopia,Addis Ababa,38.7815,8.966,Ethiopia,99,Sweden,,14.5208584,59.6749712,1
Italy,Milano,9.1154,45.442,Cameroon,99,Cameroon,,12.44144166,5.270294606,1
Italy,Roma,12.7308,41.965,Cameroon,99,Cameroon,,12.44144166,5.270294606,1
Italy,Vicenza,11.4753,45.712,Niger,99,Cameroon,,12.44144166,5.270294606,1
Italy,Turin,7.47211,45.1609,Gambia,99,Finland,,25.9209164,63.2467777,1
Italy,Milano,9.1154,45.442,Cote d'Ivoire,99,France,,1.8883335,46.603354,1
Italy,Reggio Emilia,10.6186,44.6699,Gambia,99,France,,1.8883335,46.603354,1
Italy,Roma,12.7308,41.965,Guinea,99,France,,1.8883335,46.603354,1
Italy,Vicenza,11.4753,45.712,Senegal,99,France,,1.8883335,46.603354,1
Italy,Cuneo,7.63034,44.4862,Gambia,99,Gambia,,-15.4900464,13.470062,1
Italy,Padova,11.8371,45.361,Gambia,99,Gambia,,-15.4900464,13.470062,1
Italy,Milano,9.1154,45.442,Gambia,99,Germany,,10.4234469,51.0834196,1
Italy,Padova,11.8371,45.361,Guinea,99,Guinea,,-10.7083587,10.7226226,1
Italy,Vicenza,11.4753,45.712,Guinea,99,Guinea,,-10.7083587,10.7226226,1
Italy,Venezia,12.1647,45.4591,Iran,99,Iran,,51.3896004,35.6892523,1
Italy,Turin,7.47211,45.1609,Nigeria,99,Italy,,12.33284597,43.38126738,1
Italy,Roma,12.7308,41.965,Cote d'Ivoire,99,Ivory Coast,,-5.5679458,7.9897371,1
Italy,Vicenza,11.4753,45.712,Mali,99,Ivory Coast,,-5.5679458,7.9897371,1
Italy,Milano,9.1154,45.442,Mali,99,Mali,,-2.2900239,16.3700359,1
Italy,Vicenza,11.4753,45.712,Niger,99,Niger,,9.3238432,17.7356214,1
Italy,Avellino,15.1044,40.9404,Senegal,99,Senegal,,-14.4529612,14.4750607,1
Italy,Imperia,7.81935,44.011,Mali,99,Spain,,-3.523344922,39.56495146,1
Italy,Milano,9.1154,45.442,Senegal,99,Spain,,-3.523344922,39.56495146,1
Italy,Turin,7.47211,45.1609,Gambia,99,Spain,,-3.523344922,39.56495146,1
Italy,Treviso,12.2313,45.8092,Sudan,99,Sudan,,31.1178617,16.39440993,1
Italy,Turin,7.47211,45.1609,Nigeria,99,UK,,-1.462061885,52.28097045,1
Italy,Roma,12.7308,41.965,Sudan,99,USA,,-100.4458825,39.7837304,1
Ethiopia,Addis Ababa,38.7815,8.966,Ethiopia,99,Ethiopia,Addis Ababa,38.7815,8.966,1
Ethiopia,Addis Ababa,38.7815,8.966,Ethiopia,99,USA,Arizona,-111.935,34.3046,1
Ethiopia,Addis Ababa,38.7815,8.966,Ethiopia,99,USA,Minnesota,-93.364,46.0592,1
Italy,Milano,9.1154,45.442,Cameroon,99,Italy,Bergamo,9.77093,45.8097,1
Italy,Milano,9.1154,45.442,Senegal,99,France,Rhone,4.64841,45.841,1
Italy,Milano,9.1154,45.442,Gambia,99,UK,Westminster,-0.161651,51.5115,1
Italy,Modena,10.8516,44.4311,Nigeria,99,Nigeria,Edo,5.84934,6.52416,1
Italy,Roma,12.7308,41.965,Cameroon,99,Cameroon,Littoral,10.0932,4.1938,1
Italy,Roma,12.7308,41.965,Ethiopia,99,UK,Manchester,-2.26678,53.4597,1
Italy,Roma,12.7308,41.965,Ethiopia,99,Italy,Pescara,13.8877,42.3126,1
Italy,Treviso,12.2313,45.8092,Nigeria,99,Niger,Lagos,3.52478,6.43313,1
Italy,Turin,7.47211,45.1609,Gambia,99,Germany,Baden-Wurttemberg,9.00328,48.59,1
Italy,Turin,7.47211,45.1609,Mali,99,Mali,Bamako,-8.01917,12.643,1
Italy,Turin,7.47211,45.1609,Nigeria,99,Germany,Berlin,13.4213,52.5131,1
Italy,Turin,7.47211,45.1609,Nigeria,99,Germany,Hamburg,10.0344,53.559,1
Italy,Turin,7.47211,45.1609,Mali,99,Mauritania,Nouakchott,-15.92,18.139,1
Italy,Turin,7.47211,45.1609,Nigeria,99,Nigeria,Ogun,3.29255,7.01845,1
Italy,Turin,7.47211,45.1609,Senegal,99,France,Paris,2.34347,48.8594,1
Italy,Turin,7.47211,45.1609,Nigeria,99,Italy,Vercelli,8.15956,45.8416,1
Italy,Turin,7.47211,45.1609,Nigeria,99,UK,Westminster,-0.161651,51.5115,1
Italy,Venezia,12.1647,45.4591,Nigeria,99,Italy,Mantova,10.7355,45.1396,1
